Temperature dependence of enthalpy
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
316       -115046.600000   -125873.580000   -367780.880000   126.760091       -83644.148486    -93888.511834    -57651.006040    125.619627       39.845502        
317       -115010.300000   -125849.890000   -367727.040000   133.837277       -83634.228613    -93879.333646    -57642.927450    132.614683       42.199815        
318       -114974.000000   -125826.200000   -367673.200000   140.917976       -83624.293833    -93870.140426    -57634.846400    139.611393       44.568076        
319       -114937.700000   -125802.510000   -367619.360000   148.002162       -83614.344274    -93860.932293    -57626.762890    146.609748       46.950164        
320       -114901.400000   -125778.820000   -367565.520000   155.089812       -83604.380064    -93851.709368    -57618.676920    153.609744       49.345962        
321       -114865.100000   -125755.130000   -367511.680000   162.180904       -83594.401328    -93842.471769    -57610.588490    160.611371       51.755350        
322       -114828.800000   -125731.440000   -367457.840000   169.275415       -83584.408191    -93833.219615    -57602.497600    167.614624       54.178214        
323       -114792.500000   -125707.750000   -367404.000000   176.373321       -83574.400774    -93823.953020    -57594.404250    174.619496       56.614439        
324       -114756.200000   -125684.060000   -367350.160000   183.474602       -83564.379198    -93814.672099    -57586.308440    181.625981       59.063911        
325       -114719.900000   -125660.370000   -367296.320000   190.579235       -83554.343583    -93805.376964    -57578.210170    188.634071       61.526519        
326       -114683.600000   -125636.680000   -367242.480000   197.687199       -83544.294048    -93796.067727    -57570.109440    195.643760       64.002153        
327       -114647.300000   -125612.990000   -367188.640000   204.798471       -83534.230707    -93786.744499    -57562.006250    202.655041       66.490703        
328       -114611.000000   -125589.300000   -367134.800000   211.913032       -83524.153678    -93777.407387    -57553.900600    209.667909       68.992061        
329       -114574.700000   -125565.610000   -367080.960000   219.030859       -83514.063072    -93768.056500    -57545.792490    216.682358       71.506122        
330       -114538.400000   -125541.920000   -367027.120000   226.151933       -83503.959004    -93758.691944    -57537.681920    223.698380       74.032780        
331       -114502.100000   -125518.230000   -366973.280000   233.276234       -83493.841582    -93749.313822    -57529.568890    230.715970       76.571931        
332       -114465.800000   -125494.540000   -366919.440000   240.403740       -83483.710918    -93739.922240    -57521.453400    237.735122       79.123473        
