Temperature dependence of specific heat
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
376       36.300000        23.690000        53.840000        7.253067         10.626733        9.902493         8.224960         7.083520         3.015679         
377       36.300000        23.690000        53.840000        7.255566         10.636122        9.912312         8.227420         7.084870         3.024464         
378       36.300000        23.690000        53.840000        7.258053         10.645447        9.922071         8.229880         7.086216         3.033188         
379       36.300000        23.690000        53.840000        7.260528         10.654707        9.931769         8.232340         7.087558         3.041853         
380       36.300000        23.690000        53.840000        7.262992         10.663905        9.941407         8.234800         7.088898         3.050458         
381       36.300000        23.690000        53.840000        7.265444         10.673039        9.950986         8.237260         7.090233         3.059004         
382       36.300000        23.690000        53.840000        7.267885         10.682112        9.960506         8.239720         7.091565         3.067492         
383       36.300000        23.690000        53.840000        7.270314         10.691123        9.969968         8.242180         7.092894         3.075923         
384       36.300000        23.690000        53.840000        7.272733         10.700073        9.979373         8.244640         7.094220         3.084296         
385       36.300000        23.690000        53.840000        7.275140         10.708963        9.988721         8.247100         7.095542         3.092614         
386       36.300000        23.690000        53.840000        7.277536         10.717793        9.998013         8.249560         7.096861         3.100876         
387       36.300000        23.690000        53.840000        7.279922         10.726565        10.007248        8.252020         7.098177         3.109082         
388       36.300000        23.690000        53.840000        7.282297         10.735278        10.016429        8.254480         7.099489         3.117234         
389       36.300000        23.690000        53.840000        7.284661         10.743934        10.025556        8.256940         7.100798         3.125333         
390       36.300000        23.690000        53.840000        7.287015         10.752532        10.034628        8.259400         7.102105         3.133377         
391       36.300000        23.690000        53.840000        7.289359         10.761074        10.043647        8.261860         7.103408         3.141369         
392       36.300000        23.690000        53.840000        7.291692         10.769560        10.052613        8.264320         7.104708         3.149308         
393       36.300000        23.690000        53.840000        7.294015         10.777991        10.061526        8.266780         7.106004         3.157196         
394       36.300000        23.690000        53.840000        7.296328         10.786367        10.070388        8.269240         7.107298         3.165032         
395       36.300000        23.690000        53.840000        7.298631         10.794688        10.079199        8.271700         7.108589         3.172817         
396       36.300000        23.690000        53.840000        7.300924         10.802956        10.087959        8.274160         7.109877         3.180552         
397       36.300000        23.690000        53.840000        7.303207         10.811170        10.096668        8.276620         7.111162         3.188238         
398       36.300000        23.690000        53.840000        7.305481         10.819332        10.105328        8.279080         7.112444         3.195874         
399       36.300000        23.690000        53.840000        7.307745         10.827442        10.113938        8.281540         7.113724         3.203461         
400       36.300000        23.690000        53.840000        7.310000         10.835500        10.122500        8.284000         7.115000         3.211000         
401       36.300000        23.690000        53.840000        7.312245         10.843507        10.131013        8.286460         7.116274         3.218491         
402       36.300000        23.690000        53.840000        7.314481         10.851463        10.139479        8.288920         7.117544         3.225935         
403       36.300000        23.690000        53.840000        7.316708         10.859370        10.147897        8.291380         7.118812         3.233332         
404       36.300000        23.690000        53.840000        7.318926         10.867227        10.156269        8.293840         7.120078         3.240683         
405       36.300000        23.690000        53.840000        7.321135         10.875034        10.164594        8.296300         7.121340         3.247987         
406       36.300000        23.690000        53.840000        7.323335         10.882793        10.172873        8.298760         7.122600         3.255246         
407       36.300000        23.690000        53.840000        7.325526         10.890504        10.181107        8.301220         7.123858         3.262460         
408       36.300000        23.690000        53.840000        7.327708         10.898168        10.189295        8.303680         7.125112         3.269630         
409       36.300000        23.690000        53.840000        7.329881         10.905784        10.197439        8.306140         7.126364         3.276755         
410       36.300000        23.690000        53.840000        7.332046         10.913353        10.205539        8.308600         7.127614         3.283837         
411       36.300000        23.690000        53.840000        7.334203         10.920876        10.213595        8.311060         7.128861         3.290875         
412       36.300000        23.690000        53.840000        7.336351         10.928353        10.221608        8.313520         7.130105         3.297870         
413       36.300000        23.690000        53.840000        7.338491         10.935785        10.229578        8.315980         7.131347         3.304823         
414       36.300000        23.690000        53.840000        7.340622         10.943172        10.237505        8.318440         7.132587         3.311734         
415       36.300000        23.690000        53.840000        7.342746         10.950514        10.245390        8.320900         7.133824         3.318603         
416       36.300000        23.690000        53.840000        7.344861         10.957812        10.253234        8.323360         7.135058         3.325431         
417       36.300000        23.690000        53.840000        7.346968         10.965067        10.261036        8.325820         7.136290         3.332218         
418       36.300000        23.690000        53.840000        7.349068         10.972278        10.268798        8.328280         7.137520         3.338964         
419       36.300000        23.690000        53.840000        7.351159         10.979446        10.276519        8.330740         7.138748         3.345671         
420       36.300000        23.690000        53.840000        7.353243         10.986572        10.284200        8.333200         7.139973         3.352337         
421       36.300000        23.690000        53.840000        7.355319         10.993656        10.291841        8.335660         7.141196         3.358965         
422       36.300000        23.690000        53.840000        7.357387         11.000699        10.299443        8.338120         7.142416         3.365553         
423       36.300000        23.690000        53.840000        7.359448         11.007700        10.307005        8.340580         7.143634         3.372103         
424       36.300000        23.690000        53.840000        7.361501         11.014660        10.314530        8.343040         7.144850         3.378615         
425       36.300000        23.690000        53.840000        7.363547         11.021580        10.322016        8.345500         7.146064         3.385088         
426       36.300000        23.690000        53.840000        7.365585         11.028459        10.329464        8.347960         7.147276         3.391524         
427       36.300000        23.690000        53.840000        7.367616         11.035299        10.336874        8.350420         7.148485         3.397923         
428       36.300000        23.690000        53.840000        7.369640         11.042100        10.344248        8.352880         7.149692         3.404286         
429       36.300000        23.690000        53.840000        7.371657         11.048861        10.351584        8.355340         7.150897         3.410611         
430       36.300000        23.690000        53.840000        7.373667         11.055584        10.358884        8.357800         7.152100         3.416901         
431       36.300000        23.690000        53.840000        7.375670         11.062269        10.366148        8.360260         7.153301         3.423155         
432       36.300000        23.690000        53.840000        7.377665         11.068916        10.373376        8.362720         7.154500         3.429373         
433       36.300000        23.690000        53.840000        7.379654         11.075525        10.380569        8.365180         7.155696         3.435556         
434       36.300000        23.690000        53.840000        7.381636         11.082097        10.387726        8.367640         7.156891         3.441705         
435       36.300000        23.690000        53.840000        7.383611         11.088632        10.394849        8.370100         7.158083         3.447818         
436       36.300000        23.690000        53.840000        7.385580         11.095131        10.401937        8.372560         7.159274         3.453898         
437       36.300000        23.690000        53.840000        7.387542         11.101593        10.408991        8.375020         7.160463         3.459944         
438       36.300000        23.690000        53.840000        7.389497         11.108020        10.416011        8.377480         7.161649         3.465956         
439       36.300000        23.690000        53.840000        7.391446         11.114411        10.422997        8.379940         7.162834         3.471935         
440       36.300000        23.690000        53.840000        7.393388         11.120767        10.429950        8.382400         7.164017         3.477881         
441       36.300000        23.690000        53.840000        7.395324         11.127088        10.436871        8.384860         7.165197         3.483794         
442       36.300000        23.690000        53.840000        7.397254         11.133374        10.443758        8.387320         7.166376         3.489675         
443       36.300000        23.690000        53.840000        7.399177         11.139626        10.450613        8.389780         7.167553         3.495524         
444       36.300000        23.690000        53.840000        7.401094         11.145844        10.457436        8.392240         7.168728         3.501341         
445       36.300000        23.690000        53.840000        7.403005         11.152029        10.464227        8.394700         7.169902         3.507127         
446       36.300000        23.690000        53.840000        7.404910         11.158180        10.470987        8.397160         7.171073         3.512881         
447       36.300000        23.690000        53.840000        7.406809         11.164298        10.477715        8.399620         7.172243         3.518605         
448       36.300000        23.690000        53.840000        7.408702         11.170383        10.484413        8.402080         7.173410         3.524298         
449       36.300000        23.690000        53.840000        7.410588         11.176436        10.491080        8.404540         7.174576         3.529960         
450       36.300000        23.690000        53.840000        7.412469         11.182457        10.497716        8.407000         7.175741         3.535593         
451       36.300000        23.690000        53.840000        7.414344         11.188446        10.504322        8.409460         7.176903         3.541195         
452       36.300000        23.690000        53.840000        7.416213         11.194403        10.510899        8.411920         7.178064         3.546768         
453       36.300000        23.690000        53.840000        7.418077         11.200328        10.517445        8.414380         7.179223         3.552312         
454       36.300000        23.690000        53.840000        7.419935         11.206223        10.523963        8.416840         7.180380         3.557826         
455       36.300000        23.690000        53.840000        7.421787         11.212087        10.530451        8.419300         7.181536         3.563312         
456       36.300000        23.690000        53.840000        7.423633         11.217920        10.536911        8.421760         7.182690         3.568769         
457       36.300000        23.690000        53.840000        7.425474         11.223724        10.543341        8.424220         7.183842         3.574198         
458       36.300000        23.690000        53.840000        7.427310         11.229497        10.549744        8.426680         7.184993         3.579598         
459       36.300000        23.690000        53.840000        7.429140         11.235240        10.556118        8.429140         7.186142         3.584971         
460       36.300000        23.690000        53.840000        7.430964         11.240954        10.562465        8.431600         7.187289         3.590317         
461       36.300000        23.690000        53.840000        7.432783         11.246639        10.568784        8.434060         7.188435         3.595635         
462       36.300000        23.690000        53.840000        7.434597         11.252295        10.575076        8.436520         7.189579         3.600926         
463       36.300000        23.690000        53.840000        7.436406         11.257922        10.581340        8.438980         7.190722         3.606190         
464       36.300000        23.690000        53.840000        7.438209         11.263521        10.587578        8.441440         7.191863         3.611427         
465       36.300000        23.690000        53.840000        7.440008         11.269091        10.593789        8.443900         7.193002         3.616638         
466       36.300000        23.690000        53.840000        7.441801         11.274633        10.599973        8.446360         7.194140         3.621823         
467       36.300000        23.690000        53.840000        7.443589         11.280148        10.606131        8.448820         7.195277         3.626982         
468       36.300000        23.690000        53.840000        7.445372         11.285635        10.612264        8.451280         7.196411         3.632115         
469       36.300000        23.690000        53.840000        7.447150         11.291095        10.618370        8.453740         7.197545         3.637223         
470       36.300000        23.690000        53.840000        7.448923         11.296528        10.624451        8.456200         7.198677         3.642305         
471       36.300000        23.690000        53.840000        7.450691         11.301934        10.630507        8.458660         7.199807         3.647362         
472       36.300000        23.690000        53.840000        7.452454         11.307314        10.636538        8.461120         7.200936         3.652395         
473       36.300000        23.690000        53.840000        7.454212         11.312667        10.642543        8.463580         7.202064         3.657403         
474       36.300000        23.690000        53.840000        7.455966         11.317994        10.648524        8.466040         7.203190         3.662386         
475       36.300000        23.690000        53.840000        7.457715         11.323295        10.654481        8.468500         7.204314         3.667345         
476       36.300000        23.690000        53.840000        7.459459         11.328570        10.660413        8.470960         7.205438         3.672280         
477       36.300000        23.690000        53.840000        7.461198         11.333820        10.666321        8.473420         7.206559         3.677191         
478       36.300000        23.690000        53.840000        7.462933         11.339045        10.672205        8.475880         7.207680         3.682078         
479       36.300000        23.690000        53.840000        7.464663         11.344245        10.678066        8.478340         7.208799         3.686943         
480       36.300000        23.690000        53.840000        7.466389         11.349419        10.683903        8.480800         7.209917         3.691783         
481       36.300000        23.690000        53.840000        7.468110         11.354570        10.689717        8.483260         7.211033         3.696601         
482       36.300000        23.690000        53.840000        7.469827         11.359695        10.695507        8.485720         7.212148         3.701396         
483       36.300000        23.690000        53.840000        7.471539         11.364797        10.701275        8.488180         7.213262         3.706168         
484       36.300000        23.690000        53.840000        7.473247         11.369874        10.707020        8.490640         7.214374         3.710918         
485       36.300000        23.690000        53.840000        7.474950         11.374928        10.712743        8.493100         7.215485         3.715645         
486       36.300000        23.690000        53.840000        7.476649         11.379958        10.718443        8.495560         7.216595         3.720351         
487       36.300000        23.690000        53.840000        7.478344         11.384964        10.724121        8.498020         7.217703         3.725034         
488       36.300000        23.690000        53.840000        7.480034         11.389947        10.729777        8.500480         7.218810         3.729695         
489       36.300000        23.690000        53.840000        7.481721         11.394908        10.735411        8.502940         7.219916         3.734335         
490       36.300000        23.690000        53.840000        7.483403         11.399845        10.741024        8.505400         7.221021         3.738954         
491       36.300000        23.690000        53.840000        7.485081         11.404760        10.746615        8.507860         7.222124         3.743551         
492       36.300000        23.690000        53.840000        7.486754         11.409652        10.752185        8.510320         7.223226         3.748128         
493       36.300000        23.690000        53.840000        7.488424         11.414522        10.757734        8.512780         7.224327         3.752683         
494       36.300000        23.690000        53.840000        7.490090         11.419369        10.763262        8.515240         7.225427         3.757218         
495       36.300000        23.690000        53.840000        7.491751         11.424195        10.768769        8.517700         7.226525         3.761732         
496       36.300000        23.690000        53.840000        7.493409         11.428999        10.774256        8.520160         7.227623         3.766226         
497       36.300000        23.690000        53.840000        7.495063         11.433781        10.779722        8.522620         7.228719         3.770699         
498       36.300000        23.690000        53.840000        7.496712         11.438542        10.785168        8.525080         7.229814         3.775153         
499       36.300000        23.690000        53.840000        7.498358         11.443282        10.790594        8.527540         7.230907         3.779586         
500       36.300000        23.690000        53.840000        7.500000         11.448000        10.796000        8.530000         7.232000         3.784000         
501       36.300000        23.690000        53.840000        7.501638         11.452698        10.801386        8.532460         7.233091         3.788394         
502       36.300000        23.690000        53.840000        7.503272         11.457374        10.806753        8.534920         7.234182         3.792769         
503       36.300000        23.690000        53.840000        7.504903         11.462031        10.812100        8.537380         7.235271         3.797125         
504       36.300000        23.690000        53.840000        7.506530         11.466666        10.817427        8.539840         7.236359         3.801461         
505       36.300000        23.690000        53.840000        7.508153         11.471282        10.822736        8.542300         7.237446         3.805778         
506       36.300000        23.690000        53.840000        7.509772         11.475877        10.828026        8.544760         7.238532         3.810077         
507       36.300000        23.690000        53.840000        7.511388         11.480453        10.833296        8.547220         7.239616         3.814357         
508       36.300000        23.690000        53.840000        7.513000         11.485008        10.838548        8.549680         7.240700         3.818618         
509       36.300000        23.690000        53.840000        7.514608         11.489544        10.843782        8.552140         7.241782         3.822861         
510       36.300000        23.690000        53.840000        7.516213         11.494061        10.848997        8.554600         7.242864         3.827086         
511       36.300000        23.690000        53.840000        7.517814         11.498558        10.854194        8.557060         7.243944         3.831293         
512       36.300000        23.690000        53.840000        7.519412         11.503036        10.859372        8.559520         7.245024         3.835482         
513       36.300000        23.690000        53.840000        7.521006         11.507495        10.864533        8.561980         7.246102         3.839653         
514       36.300000        23.690000        53.840000        7.522597         11.511935        10.869676        8.564440         7.247179         3.843806         
515       36.300000        23.690000        53.840000        7.524185         11.516356        10.874801        8.566900         7.248255         3.847942         
516       36.300000        23.690000        53.840000        7.525769         11.520759        10.879909        8.569360         7.249331         3.852060         
517       36.300000        23.690000        53.840000        7.527349         11.525143        10.884999        8.571820         7.250405         3.856161         
518       36.300000        23.690000        53.840000        7.528926         11.529509        10.890071        8.574280         7.251478         3.860245         
519       36.300000        23.690000        53.840000        7.530500         11.533857        10.895127        8.576740         7.252550         3.864312         
520       36.300000        23.690000        53.840000        7.532071         11.538187        10.900166        8.579200         7.253621         3.868362         
521       36.300000        23.690000        53.840000        7.533638         11.542499        10.905187        8.581660         7.254691         3.872395         
522       36.300000        23.690000        53.840000        7.535202         11.546793        10.910192        8.584120         7.255761         3.876412         
523       36.300000        23.690000        53.840000        7.536763         11.551070        10.915181        8.586580         7.256829         3.880412         
524       36.300000        23.690000        53.840000        7.538321         11.555329        10.920152        8.589040         7.257896         3.884396         
525       36.300000        23.690000        53.840000        7.539875         11.559570        10.925108        8.591500         7.258963         3.888364         
526       36.300000        23.690000        53.840000        7.541427         11.563795        10.930047        8.593960         7.260028         3.892315         
527       36.300000        23.690000        53.840000        7.542975         11.568002        10.934970        8.596420         7.261092         3.896251         
528       36.300000        23.690000        53.840000        7.544520         11.572193        10.939877        8.598880         7.262156         3.900171         
529       36.300000        23.690000        53.840000        7.546062         11.576366        10.944768        8.601340         7.263219         3.904075         
530       36.300000        23.690000        53.840000        7.547601         11.580523        10.949643        8.603800         7.264280         3.907963         
531       36.300000        23.690000        53.840000        7.549136         11.584663        10.954503        8.606260         7.265341         3.911836         
532       36.300000        23.690000        53.840000        7.550669         11.588787        10.959347        8.608720         7.266401         3.915693         
533       36.300000        23.690000        53.840000        7.552199         11.592895        10.964175        8.611180         7.267460         3.919535         
534       36.300000        23.690000        53.840000        7.553726         11.596986        10.968988        8.613640         7.268518         3.923362         
535       36.300000        23.690000        53.840000        7.555250         11.601061        10.973786        8.616100         7.269575         3.927174         
536       36.300000        23.690000        53.840000        7.556771         11.605121        10.978569        8.618560         7.270631         3.930971         
537       36.300000        23.690000        53.840000        7.558289         11.609164        10.983337        8.621020         7.271687         3.934753         
538       36.300000        23.690000        53.840000        7.559804         11.613192        10.988091        8.623480         7.272741         3.938520         
539       36.300000        23.690000        53.840000        7.561316         11.617204        10.992829        8.625940         7.273795         3.942273         
540       36.300000        23.690000        53.840000        7.562826         11.621201        10.997553        8.628400         7.274848         3.946012         
541       36.300000        23.690000        53.840000        7.564332         11.625182        11.002262        8.630860         7.275900         3.949735         
542       36.300000        23.690000        53.840000        7.565836         11.629148        11.006957        8.633320         7.276951         3.953445         
543       36.300000        23.690000        53.840000        7.567337         11.633098        11.011637        8.635780         7.278001         3.957140         
544       36.300000        23.690000        53.840000        7.568836         11.637034        11.016304        8.638240         7.279051         3.960822         
545       36.300000        23.690000        53.840000        7.570331         11.640955        11.020956        8.640700         7.280099         3.964489         
546       36.300000        23.690000        53.840000        7.571824         11.644861        11.025594        8.643160         7.281147         3.968143         
547       36.300000        23.690000        53.840000        7.573314         11.648752        11.030218        8.645620         7.282194         3.971782         
548       36.300000        23.690000        53.840000        7.574802         11.652629        11.034828        8.648080         7.283240         3.975408         
549       36.300000        23.690000        53.840000        7.576286         11.656491        11.039425        8.650540         7.284286         3.979021         
550       36.300000        23.690000        53.840000        7.577769         11.660339        11.044008        8.653000         7.285331         3.982620         
551       36.300000        23.690000        53.840000        7.579248         11.664172        11.048578        8.655460         7.286374         3.986205         
